Title,Year,Authors,Broad role of visualization,Broad role of visualization (specific),Visualization content,Target population,Target population (specific),Target deployment environment/technology,Target outcome,(Design process) Data collection – methodology,(Evaluation process) Data collection – setup,(Evaluation process) Data collection – setup (specific),(Evaluation process) Data collection – methodology,"Time-sensitive, critical component of visualization usage",(Design process) Data analysis,(Design process) Alignment,(Evaluation process) Alignment,Notes
Humane Visual AI: Telling the Stories Behind a Medical Condition,2021,"Wonyoung So, Edyta P. Bogucka, Sanja Scepanovic, Sagar Joglekar, Ke Zhou, Daniele Quercia","Communicative / Explanatory Medium
Affective / Reflective Medium",Affective / Reflective Medium (maybe),Layered Martini Glass visualization of aspects of medical conditions,General Public / Everyday Audiences,,Interactive Desktop / Web Visualization,Learning & Conceptual Understanding,Domain Expert Elicitation,Simulated but Contextualized Scenario / Workflow,,Surveys / Questionnaires,No,N/A,"Target population – N
Target environment/technology – Y
Target interaction/behavior/insight – Y","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Juvenile Graphical Perception: A Comparison between Children and Adults,2022,"Liudas Panavas, Amy Worth, Tarik Crnovrsanin, Tejas Sathyamurthi, Sara Cordes, Michelle A. Borkin, and Cody Dunne",Perceptual / Cognitive Object,,Stimuli from Cleveland & McGill (1986); tested judgements for visual encodings (1) Position Along a Common Axis (2) Position Along an Unaligned Axis (3) Length (4) Angle (5) Area,General Public / Everyday Audiences,Childrens and adults,Experimental / Prototype-Only Environment,Perceptual Discrimination & Accuracy,"Literature-Derived
Researcher-Constructed",Controlled Laboratory Study (remote or in-person),,Surveys / Questionnaires,No,N/A,N/A,"Target population – Y
Target environment/technology – N/A
Target interaction/behavior/insight – N/A","Don't include? Perception studies aren't necessarily trying to maximize realism ... but it is still an interesting tension they face

""The stimuli chosen are rarely seen in such a simple format “in the wild.” What they do represent are the basic encodings and building blocks for many types of visualizations. Our goal is to empirically test these encodings and enable other researchers and designers to determine how the encodings come together to create various visualizations."""
Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums,2021,"Keshav Dasu, Kwan-Liu Ma, Joyce Ma, Jennifer Frazier",Communicative / Explanatory Medium,,Multi-user interactive visualization exhibit using animation and narrative elements,General Public / Everyday Audiences,,"Public Display / Shared Physical Space
Interactive Desktop / Web Visualization",Learning & Conceptual Understanding,"Participatory Design / Co-Design
Domain Expert Elicitation
User Elicitation",In-the-Wild / Naturalistic / Public Deployment,,Interviews,No,->,->,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Investigating Visual Analysis of Differentially Private Data,2021,"Dan Zhang, Ali Sarvghad, and Gerome Miklau",Perceptual / Cognitive Object,,"Bar charts, pie charts, line charts, scatter plots",General Public / Everyday Audiences,,Experimental / Prototype-Only Environment,"Perceptual Discrimination & Accuracy
Pattern Detection & Sensemaking",Researcher-Constructed,Controlled Laboratory Study (remote or in-person),,"Controlled Task Performance Measures
Surveys / Questionnaires",No,N/A,N/A,"Target population – Y
Target environment/technology – N/A
Target interaction/behavior/insight – N/A",
Data Clothing and BigBarChart: Designing Physical Data Reports on Indoor Pollutants for Individuals and Communities,2021,"Laura J. Perovich, Phoebe Cai, Amber Guo, Kristin Zimmerman, Katherine Paseman, Dayanna Espinoza Silva, Julia G. Brody","Communicative / Explanatory Medium
Engagement Medium",,Data physicalizations – interactive bar chart and clothing,General Public / Everyday Audiences,,"Tangible / Physical-Computational Interfaces
Public Display / Shared Physical Space",Engagement & Participation,"Researcher-Constructed
User Elicitation",In-the-Wild / Naturalistic / Public Deployment,,"Interviews
Observation / Ethnographic Methods",No,,,,
Exploring the Effects of Aggregation Choices on Untrained Visualization Users’ Generalizations From Data,2020,"F. Nguyen, X. Qiao, J. Heer and J. Hullman",Perceptual / Cognitive Object,,"15 trials that each showed a stimuli varying in data-type combination and aggregation strategy, visualized wth default visualizations in common softwares (Tableau, PowerBI, Spotfire, Voyager)",General Public / Everyday Audiences,,Experimental / Prototype-Only Environment,Pattern Detection & Sensemaking,User Elicitation,Controlled Laboratory Study (remote or in-person),,Surveys / Questionnaires,No,Small exploratory study (to chose data-type combinations) – qualitative analysis,"Target population – N
Target environment/technology – Y
Target interaction/behavior/insight – N","Target population – Y
Target environment/technology – N/A
Target interaction/behavior/insight – N/A",
Move&Find: The Value of Kinaesthetic Experience in a Casual Data Representation,2020,"Jorn Hurtienne, Franzisca Maas, Astrid Carolus, Daniel Reinhardt, Cordula Baur, and Carolin Wienrich",Learning Tool,,Multisensory data representation in which people pedalled on a bicycle to exert the energy required to power a search query on Google’s  servers,General Public / Everyday Audiences,,Tangible / Physical-Computational Interfaces,"Learning & Conceptual Understanding
Affect, Reflection, Attitude, or Belief Change
Engagement & Participation",Researcher-Constructed,Simulated but Contextualized Scenario / Workflow,,"Observation / Ethnographic Methods
Surveys / Questionnaires
Interviews",No,,,,
Towards Visualization Thumbnail Designs That  Entice Reading Data-Driven Articles,2024,"Hwiyeon Kim, Joohee Kim, Yunha Han, Hwajung Hong, Oh-Sang Kwon, Young-Woo Park, Niklas Elmqvist, Sungahn Ko, and Bum Chul Kwon",Communicative / Explanatory Medium,,Webpage showing news articles with thumbnails,General Public / Everyday Audiences,,Interactive Desktop / Web Visualization,"Pattern Detection & Sensemaking
Engagement & Participation",Domain Expert Elicitation,Simulated but Contextualized Scenario / Workflow,,Surveys / Questionnaires,No,N/A,"Target population – N
Target environment/technology – N
Target interaction/behavior/insight – N","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
PixelClipper: Supporting Public Engagement and Conversation About Visualizations,2020,"Jagoda Walny, Sarah Storteboom, Richard Pusch, Steven Munsu Hwang, Søren Knudsen, Sheelagh Carpendale, Wesley Willett","Communicative / Explanatory Medium
Engagement Medium",,Public interface allowing viewers to add comments to visualizations,General Public / Everyday Audiences,,"Tangible / Physical-Computational Interfaces
Public Display / Shared Physical Space","Engagement & Participation
Coordination & Collaboration","Researcher-Constructed
Domain Expert Elicitation",In-the-Wild / Naturalistic / Public Deployment,,Observation / Ethnographic Methods,No,,,,
Professional Differences: A Comparative Study of Visualization Task Performance and Spatial Ability Across Disciplines,2022,"Kyle Wm. Hall, Anthony Kouroupis, Anastasia Bezerianos, Danielle Albers Szafir, and Christopher Collins",Perceptual / Cognitive Object,,Pie charts and scatterplots,General Public / Everyday Audiences,,Experimental / Prototype-Only Environment,Perceptual Discrimination & Accuracy,"Literature-Derived
Researcher-Constructed",Controlled Laboratory Study (remote or in-person),,"Controlled Task Performance Measures
Surveys / Questionnaires",No,N/A,N/A,"Target population – Y
Target environment/technology – N/A
Target interaction/behavior/insight – N/A",
The Backstory to “Swaying the Public”: A Design Chronicle of Election Forecast Visualizations,2025,"Fumeng Yang, Mandi Cai, Chloe Mortenson, Hoda Fakhari, Ayse D. Lokmanoglu, Nicholas Diakopoulos, Erik C. Nisbet, Matthew Kay","Communicative / Explanatory Medium
Affective / Reflective Medium",,Election forecast visualizations and text representations,General Public / Everyday Audiences,,Interactive Desktop / Web Visualization,"Affect, Reflection, Attitude, or Belief Change",User Elicitation,Simulated but Contextualized Scenario / Workflow,Simulated but Contextualized Scenario / Workflow (viewed during interview),"Guided or Free Exploration / Think-Aloud Protocols
Interviews",Yes,"  
 	
Survey study – qualitative analysis","Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N","Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N",
Embellishments Revisited: Perceptions of Embellished Visualisations Through the Viewer’s Lens,2024,"Muna Alebri, Enrico Costanza, Georgia Panagiotidou, and Duncan P. Brumby",Communicative / Explanatory Medium,,Visualizations with embellishments,General Public / Everyday Audiences,,"Static / Print-Like Media
Interactive Desktop / Web Visualization",Engagement & Participation,"Literature-Derived
User Elicitation",Controlled Laboratory Study (remote or in-person),,Surveys / Questionnaires,No,Survey study – quantitative analysis,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y","Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N",
Annotating Line Charts for Addressing Deception,2022,"Arlen Fan, Yuxin Ma, Michelle Mancenido, and Ross Maciejewski","Communicative / Explanatory Medium
Analytic / Reasoning Tool",,Line charts with textual and graphical annotations of deceptive elements,General Public / Everyday Audiences,,Interactive Desktop / Web Visualization,"Pattern Detection & Sensemaking
Communication & Narrative Uptake","Literature-Derived
Researcher-Constructed",Simulated but Contextualized Scenario / Workflow,,Surveys / Questionnaires,No,N/A,N/A,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
